titles,years,months,bodyTexts,country
"High Grade Au Mineralization on the Western Extension of Beardmore Geraldton Greenstone Belt, Ontario",2021,10,"TRANSITION METALS CORP (""XTM-V;TNTMF-0"") - High Grade Au Mineralization on the Western Extension - of Beardmore-Geraldton Greenstone Belt, Ontario
Transition Metals Corp (""Transition"", ""the Company"") is pleased to announce its summer prospecting and sampling work continues to support the interpretation that its Jolly Gold property covers the western extension of the prolific Beardmore-Geraldton Greenstone Belt (BGB) (Figure 1). The property covers a sulphide-facies iron formation that caps the northern assemblage of mafic metavolcanic flows overlain by intermediate pyroclastics. Gold deposits elsewhere in the BGB, such as the 4.5 Moz I&amp;I Hardrock deposit under development by Greenstone Gold near Geraldton, are considered classic examples of epigenetic, non-stratiform, banded iron formation-hosted gold deposits. Other notable deposits within the BGB include the Brookbank (0.6 Moz M&amp;I), the Sand River and Leitch Mine (past production of 0.9 Moz), the Northern Empire Mine and Sturgeon River Mine.
In July the Company completed a first pass mapping and prospecting program on Jolly Gold which included cutting and assaying of 114 channel samples on the historical Fat Beagle trench (Figure 2, Table 1) as well as collecting 82 prospecting grab samples across the 45.6 km2 property before work was halted due to local forest fire conditions. This work followed up on the initial property visit conducted in September 2020 (see November 24th, 2020 press release). Much of the property is covered by unconsolidated sediment and Nipigon diabase, limiting the exposure of the targeted Archean host rocks.
Channel sampling within the historic Fat Beagle trench returned very high-grade zones of gold mineralization, with assays of up to 146.5 g/t Au over 0.41 m, and 24.4 g/t Au over 0.61 m (Figure 2, Table 1). The best result from the 82 grab samples collected outside of the showing area returned was 1.35% Zn from an outcrop of sulphide facies iron formation (Figure 3).
CEO Scott McLean commented, ""The results of the sampling in the historic trench and identification of prospective sulphide facies iron formation supports the interpretation that our claims cover the western extension of the prolific Geraldton-Beardmore gold belt and have the potential to host significant gold mineralization. This camp scale exploration opportunity has seen only limited exploration despite its' accessible location. We believe that the application of advanced exploration techniques including, biogeochemical surveys that have proven successful on our Wollaston Cu project will assist in advancing our understanding of the property's prospectivity and identify major target areas for further exploration including diamond drilling.""
Gignac et al. 2020. NI 43-101 Technical Report Hardrock Project Ontario, Canada - Premier Gold Mines Limited, Sedar Jan. 26, 2021. Lewis et al 2013. Premier Gold Mines Limited Technical Report on the Mineral Resource Estimate for the Hardrock, Brookbank and Key Lake Projects- Sedar Feb 1, 2013 <url normalizedValue=""http://www.geologyontario.mndm.gov.on.ca/mndmfiles/mdi/data/records/MDI"">http://www.geologyontario.mndm.gov.on.ca/mndmfiles/mdi/data/records/MDI</url>
Figure 1. Regional Geological Map Showing Projected Extension of Geraldton-Beardmore Greenstone Belt and Locations of Major Gold Deposits and Transition Jolly Gold Property (MRD 126, 1:250 000 Scale Bedrock Geology of Ontario, OGS)
To view an enhanced version of this graphic, please visit: <url normalizedValue=""https://orders.newsfilecorp.com/files/2766/100159_"">https://orders.newsfilecorp.com/files/2766/100159_</url>
Table 1. Highlights from sampling on the Jolly Gold Property. //st Channel Sample Sample Easting Northing Au Ag Bi Cu Zn Te Number ID Length (g/t) (g/t) (ppm) (ppm) (ppm) (ppm)
(m) Fat Trench Beagle Samples 13.1 X926030 0.41 321825.5 5448865.9 146.50 1.68 275.00 268 18.1 117.00 13.2 X926031 0.54 321825.7 5448865.5 9.99 0.63 602.00 421 17.0 68.30 14.1 X926032 0.61 321823.9 5448865.9 24.40 0.47 80.30 195 21.0 36.10 34.2 X926071 0.69 321791.0 5448826.0 0.81 0.18 40.30 316 65.0 0.72 34.3 X926072 0.53 321791.2 5448825.5 2.38 0.61 76.80 297 75.0 0.51 10.1 X926027 0.70 321832.6 5448864.5 2.10 0.19 1230.00 320 73.0 16.60 16.1 X926034 0.63 321826.4 5448861.2 0.70 0.11 5.07 334 68.0 0.45 16.2 X926035 0.55 321826.5 5448860.6 1.68 0.33 18.15 716 47.0 7.51 32.1 X926067 0.62 321794.0 5448823.4 1.66 0.16 50.50 195 73.0 2.46 9.1 X926021 0.42 321833.8 5448863.9 1.10 0.08 9.19 245 21.0 4.08 9.2 X926022 0.38 321833.9 5448863.5 0.63 0.15 5.15 425 73.0 1.21 36.3 X926078 0.65 321785.5 5448824.7 0.56 0.10 7.19 244 79.0 0.30 31.2 X926066 0.58 321796.3 5448825.9 0.53 0.28 68.20 862 71.0 1.21 Grab Sample
X926222 0.01 0.19 0.12 109 1.35% 0.68
Figure 2. Fat Beagle trench map with channel sample highlights.
To view an enhanced version of this graphic, please visit: <url normalizedValue=""https://orders.newsfilecorp.com/files/2766/100159_"">https://orders.newsfilecorp.com/files/2766/100159_</url>
Figure 3. Grab sample location map with historical trenches and showings, and mapped and interpreted structures.
To view an enhanced version of this graphic, please visit: <url normalizedValue=""https://orders.newsfilecorp.com/files/2766/100159_"">https://orders.newsfilecorp.com/files/2766/100159_</url>
Qualified Person
The technical elements of this press release have been reviewed and approved by Mr. Thomas Hart, P.Geo. (PGO), a Qualified Person as defined under National Instrument 43-101. All analytical work performed was conducted at ALS Laboratories, an independent lab with analyses completed in North Vancouver, B.C. The quality system used by ALS Laboratories meets all requirements of International Standards ISO/IEC 17025:2005 and ISO 9001:2015. Grab samples are selected samples and are not necessarily representative of the grade of mineralization in the area sampled.
About Transition Metals Corp
Transition Metals Corp (TSXV: XTM) is a Canadian-based, multi-commodity project generator that specializes in converting new exploration ideas into Canadian discoveries in Canada. The award-winning team of geoscientists has extensive exploration experience in established, emerging and historic mining camps and actively develops and tests new ideas for discovering mineralization in places that others have not looked, which often allows the company to acquire properties inexpensively. The team is rigorous in its fieldwork and combines traditional techniques with newer ones to help unearth compelling prospects and drill targets. Transition uses the project generator business model to acquire and advance multiple exploration projects simultaneously, thereby maximizing shareholder exposure to discovery and capital gain. Joint venture partners earn an interest in the projects by funding a portion of higher-risk drilling and exploration, allowing Transition to conserve capital and minimize shareholder's equity dilution. The Company has an expanding portfolio that currently includes more than 25 gold, copper, nickel and platinum projects across Canada.
Cautionary Note on Forward-Looking Information
Except for statements of historical fact contained herein, the information in this news release constitutes ""forward-looking information"" within the meaning of Canadian securities law. Such forward-looking information may be identified by words such as ""plans"", ""proposes"", ""estimates"", ""intends"", ""expects"", ""believes"", ""may"", ""will"" and include without limitation, statements regarding estimated capital and operating costs, expected production timeline, benefits of updated development plans, foreign exchange assumptions and regulatory approvals. There can be no assurance that such statements will prove to be accurate; actual results and future events could differ materially from such statements. Factors that could cause actual results to differ materially include, among others, metal prices, competition, risks inherent in the mining industry, and regulatory risks. Most of these factors are outside the control of the Company. Investors are cautioned not to put undue reliance on forward-looking information. Except as otherwise required by applicable securities statutes or regulation, the Company expressly disclaims any intent or obligation to update publicly forward-looking information, whether as a result of new information, future events or otherwise.
Neither the TSX Venture Exchange nor its Regulation Services Provider (as that term is defined in the policies of the TSX Venture Exchange) accepts responsibility for the adequacy or accuracy of this release.
Further information is available at <url normalizedValue=""http://www.transitionmetalscorp.com"">www.transitionmetalscorp.com</url> or by contacting:
Scott McLean President and CEO Transition Metals Corp. Tel: (705) 669-1777 Tel : 705-669-0590 TRANSITION METALS CORP Fax : 705-669-1100 Email : <email normalizedValue=""mailto:smclean@transitionmetalscorp.com"">smclean@transitionmetalscorp.com</email> WWW : <url normalizedValue=""http://www.transitionmetalscorp.com"">http://www.transitionmetalscorp.com</url>
______________________________
_______________________________________________
____________________________________________________________
(c)2021 Market News Publishing Inc. All rights reserved. Toronto:(416)366-8881 Vancouver:(604)689-1101 Fax:(604)689-1106",Canada
Press Gallery,2020,10,"UNIDENTIFIED WOMAN: It's just really hard now to get an appointment. I think it's going to be really tricky.
<p nitf:lede=""true"">UNIDENTIFIED WOMAN: I needed to get tested on Friday, but I ended up having to wait until Monday to get tested.
EVAN SOLOMON: Testing nightmares across the country, backlogs, waits, it's been a nightmare, frankly. Meantime, the prime minister tested negative for COVID-19 back in August. Prime minister said his test result came back just a day later. How did he get tested so fast? Did he use the private paid clinic that MPs are allowed to use? Erin O'Toole used one. Did the prime minister also use that? And should private testing clinics, you can get some in Quebec, across the river from where I'm sitting right now, for about $250, should those be allowed, or, as the Health Minister Patty Hajdu said yesterday, are those a violation of the Canada Health Act and a doorway to two tier healthcare? And if so, why do MPs get it? Let's dig in with the press gallery. Bob Fife, the Globe and Mail's Ottawa bureau chief is here, Emilie Nicolas reporter of Le Devoir is here, and Dr. Abdu Sharkawy, CTV News infectious disease specialist joins us. Bob, I'll start with you. First of all, do we know more about the prime minister's test? He wasn't very transparent when he got it or how he got it. Now what do you make, what do you make of this, these private clinics charging for a quick test to break the logjam?
<p>ROBERT FIFE (Globe and Mail): Well the prime minister's office hasn't been very forthcoming about when he got that test, did he go to a private clinic, who did it? I suspect what happened is that he probably had the DND doctor, which travels with him, do the test, but they haven't provided with that kind of information. You know the problem we've had here is that governments had plenty of time to prepare for what everybody knew was going to happen in the fall, which was a second wave, a surge, and that we are facing that right now, and the governments did not prepare for that. But the solution is not to go to a two-tier system. The solution is to put more money into the system so that they can do proper testing. I don't think Canadians want to see a system where politicians jump the queue, or people with money can spend $250 and get a test, while everybody else cannot do that. So the onus lies on the feet of the politicians who did not properly prepare, and that we as Canadians have to demand more of our politicians to get this testing done.
SOLOMON: Yeah. I wonder about the walk. The walk. Of course, Emilie, in Quebec, it's different after of course that legal case, the Chow Lui case, if people can't get expedient health care they're allowed to take alternative routes so people are getting it in Quebec. How is the debate around private testing for COVID playing out there?
EMILIE NICOLAS (Le Devoir): Well it's important to understand that it's not just private testing. It's also all the normal surgeries, hospitals procedures that have been delayed because the hospitals are focused on COVID-19. So what you're seeing is a lot of folks who are actually paying because they've been waiting for so-called, you know, non-urgent surgeries, but they're still in pain, and so they turn to the private sector for that. So, really, I think it's, what's important to bear in mind is that whenever people have tried to privatize something, whether it be health care or schools, the first thing that they do is underfund the public system to make the public system inefficient and crappy in some way, and then that helps some of the public to be convinced that that they need the private option as well, right. So I guess that's what we're saying. There's no good option right now because the problem is upstream. The problem is why is it that we have a public health care system that cannot answer the needs of the Canadian population properly.
SOLOMON: Yeah, the very people, Dr. Sharkawy, who are running and upholding the notion of public health care when it doesn't work, they become the very illustration of why some will argue you need private health care. You're on the front lines. Give us a sense of the test crisis, if it's a major failure, and what you make of it as a way out?
DR. ABDU SHARKAWY (CTV News Infectious Disease Specialist): Well it absolutely a major crisis at this point in time. When you talk about a backlog of cases to be tested, you know, in the 80,000, 90,000 range, and concurrently having no effective tracing system at the same time, that's abject failure. You're in a situation now where the people who actually need to be tested are those that are in marginalized communities. Those that are disproportionately affected by this are those that don't have the resources available to them to advocate. They don't necessarily have the health literacy that many others do. And we've shifted to online appointments here in Ontario. I'm not sure that that's serving the population that is affected by this disease mostly here.
SOLOMON: Doc, let me just quickly stay with you, because I just talked to the Liberal leader in Ontario, Steven Del Duca, and he's calling for restaurants, bars, and gyms in Ontario, in hot spots anyway, to close down for 28 days. There's a lot of debate about a second lockdown. Again, you're on the front line. Do we need it in certain places?
SHARKAWY: I think at this point in time the evidence is abundantly clear. We can no longer continue to debate about whether this is an issue that continues to worsen. We have seen our hospitalizations increase slowly, but steadily, over the last week and a half. We know that hospitalizations and ICU admissions are the last indicators of disease progression within the community. And we know that venues such as bars and indoor dining in particular are those that help propagate transmission of this virus. That's an epidemiologic principle of reality that can no longer be denied. So I absolutely think we need targeted restrictions to be imposed without further delay, or we're going to make the situation much worse in the long run.
SOLOMON: Bob, just the politics of this, politicians who maybe had a lot of confidence a month ago, is the length of the pandemic, is this changing the political response and the impact of this?
FIFE: Well, look, I'm flabbergasted by this to be honest, because everybody had told us we're going to have a bad first wave, but the second wave is going to be worse, and it's going to come in the fall, and we're just seeing the early stages of it, because flu season is upon us as well. So the politicians have to get together, prime minister, he talks to the premiers once a week, he's got sit down with them and say, look, what resources do we need to solve this problem, and let's get to work to solving it. And to the doctor's point, if there are hot spots, then they should be closing down restaurants and bars in hot spots. This is like a forest fire. It blows up, you know, we can calm it down at some points, and other points, the wind comes up and it is blowing really badly and burning, and we, and this is what's happening in Toronto and the Ottawa area, and clearly they have to address this issue. But it takes political leadership to do so, and they've failed miserably over the summer months.
SOLOMON: Just real quick, Emilie, I just got a couple seconds. You're living in the forest fire, you're in one of the red zones in Quebec. Are they doing, is Quebec doing anything differently than other provinces?
NICOLAS: More things have been closed down already. The 28 days that is being suggested in Ontario is already in place, I'm living it right now. The one issue that I would say very quickly is that because there's no information on where the tracing is happening basically, how the outbreaks are happening, it's hard to justify why those measures are in place if you don't know that for example gyms are the problem, then you close gyms, then there's a backlash of people who are unhappy with that, so that's one of the issues, transparency.
SOLOMON: All right. Guys, I've got take a short break. I know Emilie and Bob are going to stay with us. Just to use Bob's metaphor, doc, you're our firefighter in this, our viral firefighter. Good luck, and we really appreciate your work, your information and your work on the frontlines as they fire starts to burn. But we got to take a break. Coming up next, a funeral was held today for Joyce Echaquan. She's the woman who died in a Quebec hospital while hearing racist comments about Indigenous peoples. How pervasive is racism in the healthcare system? We break that down next.
(COMMERCIAL BREAK)",Canada
"Forest Fire At Taman Seri Timah, Balakaong, Fully Extinguished - JBPM",2025,11,"KUALA LUMPUR, Nov 7 (Bernama) -- The forest fire in the hilly area of ​​Taman Seri Timah, Balakong, near here, was fully extinguished early this morningafter more than five hours of fire extinguishing operations by the...",Canada
Dr. Chirico gets majority of West Nipissing council’s support,2021,02,"West Nipissing council voted with a strong majority Tuesday against a resolution asking the North Bay Parry Sound District Health Unit to “immediately transition” out of COVID-19 shutdown extension. 
Deputy Mayor Yvon Duhaime was the lone member to vote in support of asking Dr. Jim Chirico, the Medical Officer of Health, to align the district with the provincial framework, including the reopening of toboggan hills, outdoor rinks, and snowmobile trails. 
The resolution, tabled by Mayor Joanne Savage in response to a widely-circulated letter by resident Rejean Venne, who cited statistics that argued the local health unit wasn’t basing its decisions on available information. 
Venne was also calling for a cost-benefit analysis to weigh the risks of COVID-19 against the toll on local businesses, increases in opiod deaths and overall impact on the mental health of residents. 
See: Our region needs to be treated more fairly when it comes to the COVID-19 response 
And: Parry Sound Chamber of Commerce demands data to justify extended lock down order 
“This is not going to resolve our situation,” Duhaime said of the current situation where other neighbouring regions have looser restrictions and more open economies. “We can’t stop this from happening (when people can bring the virus back such as the case at the North Bay apartment building) meanwhile everybody suffers.” 
Duhaime said he agrees with the mayor of Sudbury who wants to create a northern bubble to keep non-essential travelers out of the area. 
“In West Nipissing, we’ve done reasonably well, we’ve done everything humanly possible to keep everyone safe, but, unfortunately, you close the door in one area but you leave the windows open, then things can happen,” he said. “If we’re going to close it, let’s close it and do it properly.” 
Otherwise, Duhaime said, the extension of the shutdown merely “penalizes the businesses in our area.” 
Councillor Chris Fisher said it is “terrible with no end in sight, however … if we encourage Dr. Chirico to lift some rules and people start dropping dead around us, that’s a problem.” 
Fisher also noted that West Nipissing council “doesn’t have the same information he has.” 
Councillor Denis Senecal also supported the status quo of keeping the district under tighter restrictions “especially with that variant in North Bay.” 
Senecal said he’s satisfied with Dr. Chirico’s decisions that included closing snowmobile trails, outdoor rinks and toboggan hills even though most of the province didn’t do so. 
“I think we’ve been well served by Dr. Chirico, he’s kept us safe so far. To open it up now I don’t think it’s wise,” he said. 
Councillor Dan Roveda said it’s not council’s jurisdiction. 
“It’s the health unit’s responsibility to keep people healthy,” Roveda said, adding he supports the “radical” closing of potential gathering activities 100 per cent. 
“Dr. Chirico is trying to save lives. God forbid one of the variants get into our community, it would spread like a wildfire” like it did in North Bay, he said. 
Councillor Leo Mallette agreed with Venne’s points and helped bring the motion to the table but he appeared to recognize council’s lack of jurisdiction. 
Councillor Rolly Larabie said there’s no reason to discuss the resolution if they have no power to overrule Dr. Chirico. 
“It’s pointless, we can’t change his mind,” he said, suggesting instead that the resolution go to the emergency control group for review. But Jay Barbeau, chief administrative officer, said that group respects “incident command” management structures. 
Barbeau said they’d follow the Ministry of Natural Resources and Forestry decisions if it was a forest fire and the police if it was a criminal situation. 
“This is a health thing … and we tend to follow the direction of experts in those areas,” he said, adding a cost-benefit analysis would more likely be done at global level rather than a district health unit. 
Councillor Lise Senecal recognized that “everybody is sick and tired, getting cabin fever or whatever you call it … it’s not fun for everybody.” 
Senecal shared she’s been retired for a year and can’t travel but going against Dr. Chirico isn’t advisable, especially considering the aging demographic in the district that’s most vulnerable to the virus. 
Council can make decisions that prepare the municipality to open, such as giving staff the green light to get ready for outdoor rinks reopening or closing the arenas if it’s no longer feasible. 
Savage also said council should stick in its lane, although she’d like to see more communication between health unit districts and municipal leaders. 
“Our role is as ambassador … to tell people to follow the health regulations,” she said, which include for the North Bay and Parry Sound district to remain under lockdown until at least Monday. 
Dave Dale is a Local Journalism Reporter with BayToday.ca. LJI is funded by the Government of Canada.",Canada
Bushfire aid begins at home,2015,10,"JAKARTA: Foreign Minister Julie Bishop says Australia will consider its own bushfire season before sending further resources to help Indonesia with its forest fire emergency.
Ahead of meeting her Indonesian counterpart Retno Marsudi on the sidelines of the Indian Ocean Rim Association ministerial meetings, Ms Bishop said Australia hadn't yet been asked to send aircraft again, but was ready to assist. ""We will assess any request made of us, but most certainly in the context of our capacity to assist,"" she said yesterday.",Australia
Hepburn park's fireless clean up,2016,12,"Forest Fire Management Victoria has begun mechanically removing fuel throughout the southern end of Doctors Gully in the Hepburn Regional Park instead of burning off.
The organisation met with residents and the Hepburn Shire Council earlier in the year to discuss options for the site's clean up after residents had expressed concern about the affect burn-offs would have on tourism in the region.
FFM Vic Regional Manager Forest and Fire Operations, Peter Kambouris said while planned burning would continue to be used, the absence of bark fuels in the area meant burning could be avoided in this instance.
The move come less than three weeks after Emergency Management Commissioner Craig Lapsley urged all regional Victorians to clean up ahead of the summer fire season.
Emergency services around Ballarat have already attended a number of grassfires , including a blaze at Meredith last Monday which burned through around 16 hectares of land.",Australia
Hepburn park's fireless clean up,2016,12,"Forest Fire Management Victoria has begun mechanically removing fuel throughout the southern end of Doctors Gully in the Hepburn Regional Park instead of burning off.
The organisation met with residents and the Hepburn Shire Council earlier in the year to discuss options for the site's clean up after residents had expressed concern about the affect burn-offs would have on tourism in the region.
FFM Vic Regional Manager Forest and Fire Operations, Peter Kambouris said while planned burning would continue to be used, the absence of bark fuels in the area meant burning could be avoided in this instance.
The move come less than three weeks after Emergency Management Commissioner Craig Lapsley urged all regional Victorians to clean up ahead of the summer fire season.
Emergency services around Ballarat have already attended a number of grassfires , including a blaze at Meredith last Monday which burned through around 16 hectares of land.",Australia
KILLER CONFLAGRATION,2003,08,"A forest fire rages near the town of Sant Llorenc Savall, in north-eastern Spain. Five people were found dead on Monday after trying to flee their home. CNN Europe said the victims became trapped in smoke and died of asphyxiation. Their nearby farmhouse was not affected. The forest fire has forced at least 500 people to evacuate their homes.",Australia
Burning ready to go after dry spell,2017,03,"Burn-offs around the North East are ready for ignition, as soon as the dry weather spell finally ends.
Forest Fire Management Victoria district manager Aaron Kennedy said smaller burns were targeted first, such as in Bonegilla last week and possibly Wangaratta Common in the coming days.
He said the burns program would be wide-ranging across the North East district and focused on protecting life and property in housing areas.
But FFMV was still wary of fire season, especially the chance of bushfires started by storms with a lot of lightning and very little rain.
Heavy spring rain caused extra grass growth, and fuel for fires, which had resulted in some callout for firefighters to bushland and private property to assist the CFA over the past six weeks.
""It's been quieter than previous years,"" Mr Kennedy said.
""The prolonged dry spell that we're experiencing has meant we have extremely dry forest fuels.""",Australia
Burning ready to go after dry spell,2017,03,"Burn-offs around the North East are ready for ignition, as soon as the dry weather spell finally ends.
Forest Fire Management Victoria district manager Aaron Kennedy said smaller burns were targeted first, such as in Bonegilla last week and possibly Wangaratta Common in the coming days.
He said the burns program would be wide-ranging across the North East district and focused on protecting life and property in housing areas.
But FFMV was still wary of fire season, especially the chance of bushfires started by storms with a lot of lightning and very little rain.
Heavy spring rain caused extra grass growth, and fuel for fires, which had resulted in some callout for firefighters to bushland and private property to assist the CFA over the past six weeks.
""It's been quieter than previous years,"" Mr Kennedy said.
""The prolonged dry spell that we're experiencing has meant we have extremely dry forest fuels.""",Australia
Burning ready to go after dry spell,2017,03,"Burn-offs around the North East are ready for ignition, as soon as the dry weather spell finally ends.
Forest Fire Management Victoria district manager Aaron Kennedy said smaller burns were targeted first, such as in Bonegilla last week and possibly Wangaratta Common in the coming days.
He said the burns program would be wide-ranging across the North East district and focused on protecting life and property in housing areas.
But FFMV was still wary of fire season, especially the chance of bushfires started by storms with a lot of lightning and very little rain.
Heavy spring rain caused extra grass growth, and fuel for fires, which had resulted in some callout for firefighters to bushland and private property to assist the CFA over the past six weeks.
""It's been quieter than previous years,"" Mr Kennedy said.
""The prolonged dry spell that we're experiencing has meant we have extremely dry forest fuels.""",Australia
Firewood collection season to start,2017,02,"The autumn firewood collection season will begin Wednesday, March 1.
During the season, people can collect firewood from within designated collection areas, with a limit of two cubic metres per day and a maximum of 16 cubic metres per household per financial year.
""Designated collection areas are put in place to protect sites of cultural and environmental significance,"" Forest Fire Management Victoria's Brady Childs said.
""Also, some households rely on firewood for winter energy so consider others when taking wood.""
In red river gum parks, reserves and forests along the Murray River, collection will be restricted to residents of certain municipalities.
The felling of trees for wood is prohibited.
Officers will patrol parks, forests and reserves to ensure collections comply with regulations.
Permission from local government is needed for the collection of firewood from roadsides under their management.
VicRoads does not currently allow firewood collection on roadsides it manages.
The season will close on June 30.
For more information, visit the Department of Environment, Land, Water and Planning website or call 136 186.",Australia
Night vision to assist fighting bushfires,2017,02,"A recommendation from the 2009 Bushfires Royal Commission was put into practice over Ballarat last week as night vision goggles were used to hunt for any fires ignited by lightning strikes.
An Emergency Victoria two-person pilot and crew used a Firebird 302 helicopter customised for night vision purposes for a two-hour reconnaissance mission over the Dandenong Ranges, Healesville, Mount Macedon, Wombat State Forest, south of Ballarat into the Brisbane Ranges and Plenty Gorge.
No fires were detected, but Forest Fire Management Victoria senior aviation officer Bryan Rees said the intent was to continue to build on existing operations while maintaining specialist skills.
""This is exactly the same as reconnaissance day operations that we do all the time - but just at night.
""There are the same challenges with day operations - for example, too much cloud or smoke are still limitations at night.""
Operators of night vision goggles are specially trained and accredited personnel.",Australia
Partners educate show patrons,2016,10,"THE Warrnambool Show is not all about fun, with two key agencies choosing the event to highlight their emerging partnership.
Forest Fire Management Victoria (FFMVic) has been established to fight fires on public land managed by the Department of Environment, Land, Water and Planning (DELWP).
FFMVic member Tasha Noss was on hand at the Warrnambool Show to help raise awareness of what role the group plays.
The FFMVic display was alongside that of the Hamilton CFA, a placement that was done by design.
""We will be working alongside the CFA in fire situations so it was a good chance for us to be side-by-side at the show,"" Ms Noss said.
""We are only a relatively new body. The show is a good community event with strong rural links.
""Given those links, we see it as the perfect place for us to spread the word about what we do.""",Australia
Partners educate show patrons,2016,10,"THE Warrnambool Show is not all about fun, with two key agencies choosing the event to highlight their emerging partnership.
Forest Fire Management Victoria (FFMVic) has been established to fight fires on public land managed by the Department of Environment, Land, Water and Planning (DELWP).
FFMVic member Tasha Noss was on hand at the Warrnambool Show to help raise awareness of what role the group plays.
The FFMVic display was alongside that of the Hamilton CFA, a placement that was done by design.
""We will be working alongside the CFA in fire situations so it was a good chance for us to be side-by-side at the show,"" Ms Noss said.
""We are only a relatively new body. The show is a good community event with strong rural links.
""Given those links, we see it as the perfect place for us to spread the word about what we do.""",Australia
Partners educate show patrons,2016,10,"THE Warrnambool Show is not all about fun, with two key agencies choosing the event to highlight their emerging partnership.
Forest Fire Management Victoria (FFMVic) has been established to fight fires on public land managed by the Department of Environment, Land, Water and Planning (DELWP).
FFMVic member Tasha Noss was on hand at the Warrnambool Show to help raise awareness of what role the group plays.
The FFMVic display was alongside that of the Hamilton CFA, a placement that was done by design.
""We will be working alongside the CFA in fire situations so it was a good chance for us to be side-by-side at the show,"" Ms Noss said.
""We are only a relatively new body. The show is a good community event with strong rural links.
""Given those links, we see it as the perfect place for us to spread the word about what we do.""",Australia
Partners educate show patrons,2016,10,"THE Warrnambool Show is not all about fun, with two key agencies choosing the event to highlight their emerging partnership.
Forest Fire Management Victoria (FFMVic) has been established to fight fires on public land managed by the Department of Environment, Land, Water and Planning (DELWP).
FFMVic member Tasha Noss was on hand at the Warrnambool Show to help raise awareness of what role the group plays.
The FFMVic display was alongside that of the Hamilton CFA, a placement that was done by design.
""We will be working alongside the CFA in fire situations so it was a good chance for us to be side-by-side at the show,"" Ms Noss said.
""We are only a relatively new body. The show is a good community event with strong rural links.
""Given those links, we see it as the perfect place for us to spread the word about what we do.""",Australia
Campers advised to cease polluting,2017,01,"Visitors using free campgrounds in Grampians regional State Forests have been warned to clean up after themselves and take their rubbish home.
Forest Fire Management Victoria Regional Manager Peter Kambouris said authorised officers were noticing an increasing number of breaches of the law.
""Along with illegal campfires, the dumping of rubbish, damage to forest roads and vandalism is occurring,"" he said.
""What concerns us are those people not respecting the needs and expectations of other visitors as well as our fire crews.
""We have already experienced incidents this summer of campfires being left unattended and this week, bags of rubbish were left behind at vacant campsites.
""Knowing the rules for campfire safety, proper disposal of rubbish, and treating the landscape with respect is required.""
Mr Kambouris said campers should use some common sense and set a good example. ""People are urged to report illegal activities observed in state forests on 136 186,"" he said.",Australia
Walking off the wars within,2017,04,"EMERGENCY service personnel met at Horsham's May Park on Friday to raise awareness for post traumatic stress disorder.
Country Fire Authority District 17 operations manager Dale Russell said firefighters and other emergency service personnel spent their professional lives looking after the community and it was important they also looked after themselves.
""It was about getting the message out there,"" he said.
""It wasn't a fundraising exercise; it was an awareness exercise.""
The walk included 30 CFA staff alongside police, State Emergency Services, Forest Fire Management Victoria and CFA volunteers relay walking around the park from 10am to 1pm.
The concept was inspired by Walking off the War Within - a major challenge in Ballarat inspired by the life and death of firefighter Nathan Shanahan.
Mr Russell said CFA management took the opportunity to speak to those gathered about the pressure of the job as well as the importance of looking after themselves, their families and each other.
""It went pretty well on the day,"" he said.
Mr Russell said members were unable to attend the Ballarat day so decided to share the message in the Wimmera.",Australia
A spark from a slasher in an E...,2017,01,"A spark from a slasher in an Eldorado paddock is believed to have started a 10-hectare fire, which needed to be stopped by an aircraft water bomber.
About 16 CFA vehicles tackled the fire, which started on a property on Woolshed Road, outside the Eldorado township about 1.15pm.
Firefighters reported high flames in the area and the CFA issued an advice warning for nearby residents to be wary of smoke.
A helitack aircraft helped firefighters bring the incident under control in about 40 minutes, then Forest Fire Management Victoria members attended to put a break around the fire with a dozer.
It was travelling in a south-easterly direction towards Eldorado-Tarrawingee Road, but District 23 operations officer Trevor Ebbels said no homes were under threat.
""We believe it was started by a tractor and slasher,"" he said. ""It's important that people understand that it is dry out there and there is danger on milder days as well as the very hot ones.""",Australia
Volunteers battle Eldorado fire,2017,01,"A spark from a slasher in an Eldorado paddock is believed to have started a 10-hectare fire, which needed to be stopped by an aircraft water bomber.
About 16 CFA vehicles tackled the fire, which started on a property on Woolshed Road, outside the Eldorado township about 1.15pm.
Firefighters reported high flames in the area and the CFA issued an advice warning for nearby residents to be wary of smoke.
A helitack aircraft helped firefighters have the incident under control in about 40 minutes, then Forest Fire Management Victoria members attended to put a break around the fire with a dozer.
It was travelling in a south-easterly direction towards Eldorado-Tarrawingee Road, but District 23 operations officer Trevor Ebbels said no homes were under threat.
""We believe it was started by a tractor and slasher,"" he said.
""It's important that people understand that it is dry out there and there is danger on milder days as well as the very hot ones.""",Australia
